"Query Number", "Database Name", "SQL Query", "header info"
"1", "TEST","SELECT * FROM `test` ORDER BY `test`.`frequency` DESC ", "letter,frequency"
"2", "tsmgui11","SELECT `nodes`.`NODENAME`, SUM(`dedup_stats`.`UNIQUE_BYTES`/1000000) FROM `dedup_stats` INNER JOIN `nodes` ON `dedup_stats`.`NODEID` = `nodes`.`NODEID` WHERE UNIQUE_BYTES NOT LIKE '' GROUP BY `dedup_stats`.`NODEID` ORDER BY `dedup_stats`.`NODEID`", "letter,frequency"
"3", "tsmgui11","SELECT STGPOOL_NAME, TOTAL_SPACE_MB FROM `stgpools` WHERE TOTAL_SPACE_MB > 0 GROUP BY STGPOOL_NAME ORDER BY `stgpools`.`STGPOOL_NAME`", "letter,frequency"
"4", "tsmgui11","SELECT NODEID, COUNT(NODEID) FROM `replicated_objects` GROUP BY NODEID","letter,frequency"
"5", "tsmgui11","SELECT VOLID, SEGSIZE/1000000 from `af_segments` WHERE SEGSIZE NOT LIKE '' GROUP BY VOLID ORDER BY `af_segments`.`VOLID`","letter,frequency"
"6", "tsmgui11","SELECT `nodes`.`NODENAME`, COUNT(`replicated_objects`.`NODEID`) FROM `replicated_objects` INNER JOIN `nodes` ON `replicated_objects`.`NODEID` = `nodes`.`NODEID` GROUP BY `replicated_objects`.`NODEID`","letter,frequency"
"7", "tsmgui11","SELECT `STGPOOL_NAME` , SUM(`OBJECT_COUNT`) FROM `containers` WHERE OBJECT_COUNT NOT LIKE '' GROUP BY `STGPOOL_NAME`", "name,count"
"8", "tsmgui11","SELECT `POOLID` , SUM(`REFCOUNT`) FROM `sd_chunk_locations` WHERE `REFCOUNT` NOT LIKE '' GROUP BY `POOLID`", "id,value"
"9", "tsmgui11","SELECT `CHUNKID` , SUM(`REFCOUNT`) FROM `sd_chunk_locations` WHERE `REFCOUNT` NOT LIKE '' GROUP BY `CHUNKID`","id,value"
"10","vcloud362","SELECT `CNTRID` , SUM(`REFCOUNT`) FROM `sd_chunk_locations` WHERE `REFCOUNT` NOT LIKE '' GROUP BY `CNTRID`","id,value"
"11","tsmgui11", "SELECT NODE_NAME, SUM(NUM_FILES) FROM `occupancy` GROUP BY NODE_NAME","nodeName,numFiles"
"12","vcloud362","SELECT POOLID, FILESIZE, MAXSIZE FROM `sd_containers` GROUP BY POOLID","name,value1,value2"
