"ADPPOOL","4077.07","4077.07","4077.80"
"ARCHFILEPOOL","4693.61","4693.61","4693.61"
"ARCHIVEPOOL","4039.97","4039.97","4042.95"
"BACKUPPOOL","0.01","0.01","0.01"
"BKFILEPOOL","661.05","661.05","661.05"
"CLEVER-1",,,"4899.44"
"CLEVER-2",,,"276.83"
"CLOUDPOOL-1",,,"92174.73"
"COPY-TAPE-TSMGUI11","405.36","405.36","405.36"
"COPYPOOL","0.00","0.28","0.28"
"DIRPOOL-1",,,"213.31"
"HYBRID-CLOUD-1",,,"90209.44"
"LARGEFILEPOOL","0.00","0.00","0.00"
"NASLEGACYPOOL-1","0.27","0.27","0.27"
"NASPOOL-1","0.27","0.27","0.27"
"VTL1-TSMGUI11","405.36","405.36","405.31"
