letter,frequency
"9","0.289792"
"8","0.288768"
"7","0.3328"
"62","4.488192"
"6","0"
"59","0.306176"
"58","1724.73344"
"56","1725.274112"
"55","0.288768"
"54","0.323584"
"5","0"
"48","0.288768"
"47","0.70144"
"46","1769.913344"
"45","1769.913344"
"44","0.288768"
"43","0.288768"
"42","0.321536"
"41","0.288768"
"40","0.288768"
"4","0"
"39","0.288768"
"37","0.288768"
"36","23.847936"
"35","1724.73344"
"34","0.300032"
"33","204.275712"
"32","0.306176"
"31","83.885056"
"30","36.859904"
"3","0"
"29","0.149504"
"28","0.598016"
"27","0.306176"
"26","42073.650176"
"25","0.284672"
"24","0.288768"
"23","204.275712"
"22","0.284672"
"21","83.885056"
"20","0.284672"
"2","0"
"19","0.289792"
"18","0.000294"
"17","0.289792"
"16","0.284672"
"152","12.880896"
"151","0.308224"
"150","17862.063104"
"15","0.289792"
"149","0.297984"
"14","0.289792"
"13","0.015069"
"12","0.017645"
"11","0.289792"
"10","0.289792"
"1","0.000814"
